"user.id","signup.date"
"5341475c4efa972750f5e00f",2014-04-06
"52715cdeb6a88e9514b4da29",2013-10-30
"52c3e99eb6a88e9514de886c",2014-01-01
"51c35f15217c626224a939c1",2013-06-20
"52893675b6a88e9514c08801",2013-11-17
"520a2167217c626224c1002a",2013-08-13
"52cf890bb6a88e9514dfabb0",2014-01-10
"534d23ac4efa972750f72116",2014-04-15
"5290eb92b6a88e9514c699ad",2013-11-23
"52af26e1b6a88e9514d51818",2013-12-16
"51d03a81217c626224ac2cec",2013-06-30
"534c854a4efa972750f7186c",2014-04-15
"5232e90b217c626224d20977",2013-09-13
"51bef32a217c626224a83abf",2013-06-17
"5276cd85b6a88e9514b64da2",2013-11-03
"5276b6f4b6a88e9514b6439a",2013-11-03
"527414bfb6a88e9514b5933b",2013-11-01
"5286c7deb6a88e9514bea5d6",2013-11-16
"52655048b6a88e9514b14352",2013-10-21
"526fa238b6a88e9514b42934",2013-10-29
"51e8ae74217c626224b55c54",2013-07-19
"5294b336b6a88e9514c90a65",2013-11-26
"524e4e20b6a88e9514ab0fd0",2013-10-04
"52e43464b6a88e9514e1e020",2014-01-25
"52d5dea5b6a88e9514e05dfd",2014-01-15
"52917b4eb6a88e9514c70a1e",2013-11-24
"51b893a9217c626224a70c85",2013-06-12
"52740ae2b6a88e9514b58ef8",2013-11-01
"52a3b7efb6a88e9514cd4a5f",2013-12-08
"528ba931b6a88e9514c31fb0",2013-11-19
"5283d42ab6a88e9514bd2ece",2013-11-13
"5195572f34b9b0a8049d274a",2013-05-16
"5307ac8d4efa972750e73523",2014-02-21
"527685e4b6a88e9514b62fa5",2013-11-03
"52b608a7b6a88e9514d804f0",2013-12-21
"52f5a912b6a88e9514ea819a",2014-02-11
"52924d76b6a88e9514c7708f",2013-11-24
"5274415eb6a88e9514b5a0a5",2013-11-02
"51a8bf5434b9b0a804a12c74",2013-05-31
"51b33d45217c626224a6039a",2013-06-08
"52bcc2ceb6a88e9514da66b2",2013-12-26
"517dfa6934b9b0a80498d718",2013-04-29
"520542c7217c626224bf1cc0",2013-08-09
"520d4f06217c626224c233a6",2013-08-15
"518e9b9034b9b0a8049b69ee",2013-05-11
"52f4090db6a88e9514ea63dd",2014-02-06
"52d00ed4b6a88e9514dfb3d2",2014-01-10
"53318ec64efa972750f3fd2f",2014-03-25
"52249d33217c626224cc0902",2013-09-02
"524ab93cb6a88e9514a9c2dc",2013-10-01
"52780b55b6a88e9514b6e27a",2013-11-04
"520e5faf217c626224c29012",2013-08-16
"5298d28ab6a88e9514ca0b15",NA
"52ab34f5b6a88e9514d2e35e",2013-12-13
"524c7951b6a88e9514aa920b",2013-10-02
"52937439b6a88e9514c863b5",2013-11-25
