"user.id","purchase.date","purchase.count"
"52cf890bb6a88e9514dfabb0",2014-01-10,1
"52af26e1b6a88e9514d51818",2013-12-16,1
"51bef32a217c626224a83abf",2013-06-17,2
"51bef32a217c626224a83abf",2013-06-19,1
"51e8ae74217c626224b55c54",2013-07-19,2
"51e8ae74217c626224b55c54",2013-07-20,1
"51e8ae74217c626224b55c54",2013-07-22,1
"52d5dea5b6a88e9514e05dfd",2014-01-15,1
"52d5dea5b6a88e9514e05dfd",2014-01-22,1
"5195572f34b9b0a8049d274a",2013-05-16,2
"5195572f34b9b0a8049d274a",2013-05-17,1
"5307ac8d4efa972750e73523",2014-03-03,1
"52b608a7b6a88e9514d804f0",2013-12-21,2
"52f5a912b6a88e9514ea819a",2014-02-11,1
"51a8bf5434b9b0a804a12c74",2013-05-31,3
"517dfa6934b9b0a80498d718",2013-04-29,2
"517dfa6934b9b0a80498d718",2013-04-30,1
"517dfa6934b9b0a80498d718",2013-05-25,2
"517dfa6934b9b0a80498d718",2013-05-30,1
"520d4f06217c626224c233a6",2013-08-15,2
"520d4f06217c626224c233a6",2013-08-16,1
"52d00ed4b6a88e9514dfb3d2",2014-01-10,1
"52d00ed4b6a88e9514dfb3d2",2014-01-14,1
"52249d33217c626224cc0902",2013-09-02,2
"52249d33217c626224cc0902",2013-09-05,1
"524ab93cb6a88e9514a9c2dc",2013-10-01,2
"524ab93cb6a88e9514a9c2dc",2013-10-02,1
"524ab93cb6a88e9514a9c2dc",2013-10-05,1
"52545059b6a88e9514ac43db",2013-10-08,1
"52545059b6a88e9514ac43db",2013-11-01,1
"52545059b6a88e9514ac43db",2013-12-01,1
"51a415cd34b9b0a804a04a11",2013-05-28,3
"51a18f4f34b9b0a8049febc1",2013-05-26,2
"51a18f4f34b9b0a8049febc1",2013-05-31,1
"51ad691e34b9b0a804a20933",2013-06-04,2
"51ad691e34b9b0a804a20933",2013-06-05,1
"51af1b7d6b7f676221000012",2013-06-05,2
"51af1b7d6b7f676221000012",2013-06-06,1
"51b1f5ac217c626224a5d2b3",2013-06-07,2
"51b1f5ac217c626224a5d2b3",2013-06-10,1
"51d4266b217c626224aebb7d",2013-07-03,1
"52153199217c626224c5563d",2013-08-21,2
"52153199217c626224c5563d",2013-08-22,1
"532b08b94efa972750f351df",2014-03-20,1
"52b74b91b6a88e9514d8147d",2013-12-22,1
"51e99f9d217c626224b5edbe",2013-07-19,2
"51e99f9d217c626224b5edbe",2013-07-23,1
"51e5cd6d217c626224b44d51",2013-07-16,2
"51e5cd6d217c626224b44d51",2013-07-17,1
"5299f6d8b6a88e9514ca36fb",2013-11-30,2
"5299f6d8b6a88e9514ca36fb",2013-12-04,1
"5299f6d8b6a88e9514ca36fb",2014-01-31,1
"5277cc99b6a88e9514b6c46f",2013-11-04,2
"5277cc99b6a88e9514b6c46f",2013-11-06,1
"5277cc99b6a88e9514b6c46f",2013-11-07,2
"5277cc99b6a88e9514b6c46f",2013-11-08,1
"52f65f8cb6a88e9514ea8787",2014-02-08,1
"52269c7a217c626224cd2417",2013-09-04,2
"52269c7a217c626224cd2417",2013-09-06,1
"51cf15b4217c626224abdb8a",2013-06-29,2
"51cf15b4217c626224abdb8a",2013-07-01,1
"51a8977834b9b0a804a12475",2013-05-31,3
"51a8977834b9b0a804a12475",2013-06-03,1
"51a8977834b9b0a804a12475",2013-06-21,2
"51a8977834b9b0a804a12475",2013-06-23,1
"521528b9217c626224c55181",2013-08-21,2
"521528b9217c626224c55181",2013-08-25,1
"52755f70b6a88e9514b5e5eb",2013-11-02,2
"52755f70b6a88e9514b5e5eb",2013-11-05,1
"52755f70b6a88e9514b5e5eb",2013-11-20,1
"51f50e80217c626224b9e0ec",2013-07-28,2
"51f50e80217c626224b9e0ec",2013-07-30,1
"526087c7b6a88e9514b0361b",2013-10-18,3
"526087c7b6a88e9514b0361b",2013-10-22,1
"526087c7b6a88e9514b0361b",2013-11-06,1
"526087c7b6a88e9514b0361b",2013-12-15,1
"526087c7b6a88e9514b0361b",2013-12-26,1
"52f6a3adb6a88e9514ea8b63",2014-02-08,1
"52a90007b6a88e9514d13093",2013-12-12,2
"52fd0df9b6a88e9514eaf5ea",2014-02-13,1
"52fd0df9b6a88e9514eaf5ea",2014-02-27,1
"52dd9942b6a88e9514e1231c",2014-01-20,1
"51ad259a34b9b0a804a1fbac",2013-06-03,2
"51ad259a34b9b0a804a1fbac",2013-06-05,1
"520462b5217c626224bed5cc",2013-08-09,4
"520462b5217c626224bed5cc",2013-08-13,1
"51bfebe9217c626224a884dd",2013-06-18,3
"52195df8217c626224c6c534",2013-08-25,2
"52195df8217c626224c6c534",2013-08-26,12
"51d5a1f8217c626224af24c4",2013-07-04,1
"51d5a1f8217c626224af24c4",2013-07-08,1
"51d5a1f8217c626224af24c4",2013-09-04,1
"52010203217c626224bd6b3d",2013-08-06,3
"52010203217c626224bd6b3d",2013-09-16,3
"4fbbf6f562047742c954076d",2012-05-22,1
"5247628ab6a88e9514a90acb",2013-09-28,2
"5247628ab6a88e9514a90acb",2013-09-30,1
"524ba0e0b6a88e9514aa5f55",2013-10-02,3
"51488a4a34b9b0a80480445f",2013-03-19,3
"51488a4a34b9b0a80480445f",2013-08-20,2
"51488a4a34b9b0a80480445f",2013-08-21,1
"51488a4a34b9b0a80480445f",2013-08-28,2
"51488a4a34b9b0a80480445f",2013-08-29,1
"51488a4a34b9b0a80480445f",2013-10-28,2
"51488a4a34b9b0a80480445f",2013-10-29,1
"51488a4a34b9b0a80480445f",2014-01-16,1
"5287f33db6a88e9514bf5942",2013-11-18,2
"5287f33db6a88e9514bf5942",2013-11-19,1
